start	end	text
225769	226829	¿Vas allá de eso?
226849	227830	¿Tienes alguna enfermedad?
228190	228910	Tengo diabetes.
229350	233372	Vale, y aparte de la diabetes, ¿alguna vez probé más respiratorios o enfermedades de pulmón?
233872	236293	De pequeño tuve asma, pero nada más.
236353	237994	Y dime Ignacio, ¿eres alérgico a algo?
238454	239094	A la penicilina.
240061	243504	Muy bien, cuéntame qué operaciones han hecho y qué fármacos tomas habitualmente.
243684	244966	Pues, me han hecho dos operaciones.
245026	246908	Me han quitado las amíbalas y darme el apendicé.
247188	251092	Luego de fármacos, solo tomo un fármaco para la diabetes, que ahora mismo no recuerdo el nombre.
251352	253674	Aquí me sale que tomas metformina, ¿te suena el nombre?
253914	255356	Efectivamente, ese es el nombre.
255696	258579	Ya para terminar, querría saber si consumes alcohol o tabaco.
259139	261201	Nunca he fumado y solo luego lo siento hace semana.
